的	dik1
一	jat1
官	gun1
德	dak1
稅	tyut3
靈	ling4
牆	coeng4
礙	ngoi6
是	si6
在	zoi6
隨	ceoi4
病	bing6
途	tou4
滅	mit6
赫	hak1
忠	zung1
不	pei1
了	liu5
失	sat1
爾	ji5
賽	coi3
召	ziu6
撥	put3
准	zeon2
有	jau6
和	wu4
死	si2
講	gong2
歸	kwai3
鼓	gu2
肅	suk1
缸	gong1
人	jan4
這	ze5
呢	ni1
蘇	sou1
播	bo3
盤	pun4
搶	cong2
牽	hin1
中	zung3
大	taai3
配	pui3
女	neoi6
裁	coi4
險	him2
博	bok3
巧	kiu2
為	wai6
上	soeng6
黃	wong4
推	teoi1
康	hong1
唯	wai5
兄	hing1
杜	dou6
個	go3
國	gwok3
顯	hin2
談	taam4
錄	luk6
菌	kwan5
訊	seon3
誠	sing4
我	ngo5
以	ji5
罪	zeoi6
神	san4
純	zeon2
蓋	koi3
碧	bik1
祥	coeng4
要	jiu3
地	deng6
藝	ngai6
席	zik6
橫	waang6
繫	hai6
頁	sau2
巡	ceon4
他	to1
時	si4
含	ham4
企	kei5
私	si1
符	fu4
矩	geoi2
尋	cam4
來	loi6
用	jung6
望	mong6
密	mat6
努	nou5
堂	tong4
悲	bei1
灌	gun3
們	mun4
生	sang1
批	pai1
營	jing4
域	wik6
糖	tong4
齡	ling4
倫	leon4
到	dou3
作	zok3
項	hong6
防	fong4
槍	coeng1
潤	jeon6
票	piu3
桂	gwai3
出	ceot1
就	zau6
舉	geoi2
球	kau4
幅	fuk1
哈	kaa1
聖	sing3
恰	hap1
分	fan6
於	wu1
英	jing1
氧	joeng5
竟	ging2
澤	zaak6
恐	hung2
鄭	zing6
對	deoi3
成	sing4
勢	sai3
告	guk1
腦	nou5
壤	joeng6
趣	cuk1
抬	toi4
會	wui6
可	ho2
李	lei5
落	lok6
碳	taan3
歐	ngau2
荒	fong1
貼	tip3
主	zyu2
發	fat3
布	bou3
木	muk6
側	zak1
遍	pin3
騰	tang4
柔	jau4
年	nin4
動	dung6
幫	bong1
輪	leon4
寨	zaai6
干	gon3
滴	dik6
呵	o1
同	tung4
工	gung1
破	po3
亞	ngaa3
敢	gam2
徹	cit3
猛	maang5
輛	loeng6
也	jaa5
能	toi4
朝	zyu1
師	si1
惡	wu3
慮	luk6
闊	fut3
勁	ging6
下	haa6
過	gwo3
圍	wai4
遠	jyun6
斜	je4
庭	ting4
妻	cai3
填	zan3
子	zi2
說	syut3
字	zi6
材	coi4
納	naap6
于	jyu4
撤	cit3
儲	cyu5
產	caan2
種	zung3
注	zyu3
排	paai4
塞	sak1
折	zit3
舍	se5
淺	zin1
行	hong6
而	nang4
供	gung3
河	ho4
飼	zi6
伸	san1
鬧	naau6
擾	jiu5
方	fong1
面	min6
態	taai3
封	fung1
濕	sap1
麥	mak6
紫	zi2
讚	zaan3
後	hau6
多	do1
另	ling6
復	fuk6
荷	ho6
暗	ngam3
砂	saa1
戲	hei3
定	ding6
學	hok6
施	si3
減	gaam2
瓦	ngaa6
床	cong4
遞	sai6
吊	diu3
法	fat3
所	so2
樹	syu6
溶	jung4
卡	zaap6
築	zuk1
陶	tou4
伐	fat6
民	man4
得	dak1
怎	zam2
止	zi2
戶	wu6
塔	taap3
療	liu6
瓶	ping4
經	ging1
十	sap6
案	on3
台	toi4
訪	fong2
透	tau3
婆	po4
臂	bei3
三	saam3
之	zi1
言	jin4
士	si6
刀	dou1
旋	syun4
撫	fu2
摸	mou4
進	zeon3
等	dang2
均	wan6
武	mou5
借	ze3
氯	luk6
忍	jan5
蝦	haa4
部	bou6
度	dou6
固	gu3
葉	sip3
遇	jyu6
份	fan6
胸	hung1
鄰	leon4
家	ze1
電	din6
魚	jyu4
波	bo1
毒	duk6
泥	nei6
偶	ngau5
擠	zai1
力	lik6
如	jyu4
視	si6
僅	gan6
退	teoi3
洗	sin2
棄	hei3
鞏	gung2
水	seoi2
化	faa3
差	co1
費	fai3
蟲	cung4
擺	baai2
鋪	pou3
乳	jyu5
高	gou1
都	dou1
降	hong4
緊	gan2
灰	fui1
彩	coi2
槽	cou4
鬆	sung1
自	zi6
二	ji6
愛	oi3
左	zo2
賣	maai6
圈	hyun1
仁	jan4
吉	gat1
理	lei5
起	hei2
章	zoeng1
早	zou2
耗	hou3
夏	haa6
鄧	dang6
熔	jung4
小	siu2
長	zoeng6
害	hot6
續	zuk6
擇	zaak6
忙	mong4
爛	laan6
磚	zyun1
物	mat6
現	jin6
服	fuk6
食	zi6
獻	hin3
銅	tung4
租	zou1
簽	cim1
實	sat6
加	gaa3
試	si5
充	cung1
硬	ngaang6
予	jyu5
烏	wu1
艦	laam6
量	loeng6
兩	loeng6
兵	bing1
源	jyun4
削	soek3
卷	kyun4
伴	pun5
瓜	gwaa1
體	tai2
機	gei1
判	pun3
似	ci5
繁	pun4
雪	syut3
丙	bing2
暫	zaam6
還	waan4
當	dong3
司	si1
護	wu6
亦	jik6
函	haam4
燥	cou3
譜	pou2
使	si3
點	dim2
足	zyu3
某	mau5
抽	cau1
篇	pin1
橡	zoeng6
暖	nyun5
從	zung6
業	jip6
練	lin6
略	loek6
陣	zan6
陰	jam3
柳	lau5
牌	paai4
本	bun2
重	zung6
田	tin4
黑	hak1
丁	zang1
尺	cek3
秧	joeng1
縴	hin3
去	heoi3
把	baa3
犯	faan6
負	fu6
追	zeoi1
堆	zeoi1
迷	mai4
膽	daam2
性	sing3
好	hou3
擊	gik1
繼	gai3
盛	sing6
雄	hung4
詳	joeng4
簧	wong4
應	jing3
開	hoi1
興	jan6
堅	gin1
迎	jing6
泛	fung3
踏	daap6
呆	ngoi4
它	to1
合	ho4
輸	syu1
曲	kuk1
樓	lau4
爸	baa1
瓷	ci4
賓	ban3
因	jan1
制	zai3
修	sau1
故	gu3
避	bei6
謀	mau4
洛	lok6
糊	wu4
由	jau4
其	kei4
城	sing4
覺	gok3
噸	deon6
野	je5
憤	fan5
競	ging6
些	so3
然	jin4
夫	fu4
夠	gau3
豬	zyu1
旗	kei4
隙	kwik1
怒	nou6
前	cin4
外	ngoi6
送	sung3
笑	siu3
偏	pin1
典	din2
粘	zim1
乃	oi2
天	tin1
政	zing3
船	syun4
右	jau6
館	gun2
索	suk3
緒	seoi5
肩	gin1
四	si3
日	mik6
財	coi4
吃	jaak3
秦	ceon4
脂	zi1
籍	zik6
輝	fai1
那	no6
社	se6
富	fu3
春	ceon1
潮	ciu4
爺	je4
敏	man5
熙	hei1
義	ji6
事	si6
職	zik1
漢	hon3
忽	fat1
塑	sou3
皆	gaai1
桿	gon3
平	ping4
形	jing4
畫	waak6
功	gung1
遺	wai6
松	sung1
偵	zing1
懸	jyun4
相	soeng3
全	cyun4
巴	baa1
裡	leoi5
累	leoi6
愈	jyu6
掘	gwat6
享	hoeng2
裏	leoi5
間	haan4
跟	gan1
雖	seoi1
朱	zyu1
替	tai3
糾	giu2
醒	sing2
樣	joeng6
表	biu2
雜	zaap6
板	baan2
纖	cim1
豆	dau6
狂	kwong4
鎖	so2
與	jyu6
關	gwaan1
飛	fei1
佔	zim3
傾	king1
粗	cou1
恨	han6
牲	sang1
各	gok3
新	san1
曾	zang1
樂	ngok6
尚	soeng6
痛	tung3
霸	paak3
誌	zi3
線	sin3
內	noi6
致	zi3
檢	gim2
楚	co2
驚	ging1
爬	paa4
賞	soeng2
數	sou3
正	zing3
吸	kap1
里	lei5
壁	bik3
衝	cung3
玩	wun6
逆	ngaak6
心	sam1
反	faan3
助	zo6
陽	joeng4
謝	ze6
奮	fan5
陵	ling4
祝	zuk1
你	nei5
明	ming4
互	wu6
初	co1
購	kau3
磨	mo6
浙	zit3
秒	miu5
看	hon3
原	jyun5
創	cong3
抗	kong3
君	gwan1
池	to4
貌	maau6
役	jik6
又	jau6
麼	mo5
考	haau2
投	tau4
旁	pong4
碎	seoi3
彼	bei2
悉	sik1
利	lei6
比	pei4
壞	waai6
策	caak3
骨	gwat1
徵	zing1
冒	mou6
鴨	ngaap3
或	waak6
但	daan6
古	gu2
徑	ging3
監	gaam3
捕	bou6
蠟	laap6
趨	cuk1
質	zi3
氣	hei3
換	wun6
未	mei6
弟	teoi4
胡	wu4
塗	tou4
鳳	fung6
第	dai6
向	hoeng3
跑	paau4
留	lau4
暴	buk6
割	got3
晨	san4
輩	bui3
道	dou6
命	ming6
鋼	gong3
端	dyun1
殊	syu4
貫	gwaan3
秩	dit6
卵	lo5
此	ci2
沒	mut6
責	zaak3
站	zaam6
釋	sik1
托	tok3
署	syu6
梯	tai2
變	bin3
條	tiu5
簡	gaan2
升	sing1
詞	ci4
頓	duk6
炎	jim4
灘	taan1
只	zi2
結	lit3
述	seot6
錢	zin2
寶	bou2
午	ng5
篩	si1
驅	keoi1
解	haai6
問	man6
副	pik1
盡	zeon6
塵	can4
聞	man6
峽	hap6
啥	saa2
意	ji3
建	gin3
帝	dai3
射	sik6
揭	kit3
炮	paau4
壽	sau6
譯	jik6
月	jyut6
公	gung1
草	cou2
範	faan6
殘	caan4
橋	kiu4
浸	zam3
泉	cyun4
無	mou4
軍	gwan1
承	sing4
獨	duk6
婦	fu5
綜	zung3
帽	mou6
硅	gwai1
很	han2
情	cing4
令	ling6
限	haan6
警	ging2
招	ziu1
遲	zi6
疆	goeng1
者	ze2
最	zeoi3
阿	o1
宣	syun1
吳	ng4
付	fu6
棋	kei4
貸	tik1
立	lap6
代	doi6
環	waan4
雙	soeng1
浮	fau4
遭	zou1
漏	lau6
冠	gun3
想	soeng2
已	ji5
請	zing6
超	ciu1
徐	ceoi4
冬	dung1
嫩	nyun6
稿	gou2
通	tung1
提	tai4
微	mei4
讓	joeng6
您	nei5
搖	jiu4
脅	hip6
芯	seon3
直	zik6
題	tai4
控	hung3
州	zau1
谷	luk6
箱	soeng1
牢	lou4
叛	bun6
黨	tong2
程	cing4
良	loeng4
軸	zuk6
隔	gik1
訂	ding3
蝕	sit6
奧	ou3
展	zin2
五	ng5
找	zaau2
否	pei5
男	naam4
吹	ceoi3
鳴	ming4
嶺	ling5
果	gwo2
料	liu6
紀	gei3
益	jik1
園	jyun4
柱	cyu5
羊	joeng4
憑	pang4
