的 一 官 德 稅 靈 牆 礙
是 在 隨 病 途 滅 赫 忠
不 了 失 爾 賽 召 撥 准
有 和 死 講 歸 鼓 肅 缸
人 這 呢 蘇 播 盤 搶 牽
中 大 配 女 裁 險 博 巧
為 上 黃 推 康 唯 兄 杜
個 國 顯 談 錄 菌 訊 誠
我 以 罪 神 純 蓋 碧 祥
要 地 藝 席 橫 繫 頁 巡
他 時 含 企 私 符 矩 尋
來 用 望 密 努 堂 悲 灌
們 生 批 營 域 糖 齡 倫
到 作 項 防 槍 潤 票 桂
出 就 舉 球 幅 哈 聖 恰
分 於 英 氧 竟 澤 恐 鄭
對 成 勢 告 腦 壤 趣 抬
會 可 李 落 碳 歐 荒 貼
主 發 布 木 側 遍 騰 柔
年 動 幫 輪 寨 干 滴 呵
同 工 破 亞 敢 徹 猛 輛
也 能 朝 師 惡 慮 闊 勁
下 過 圍 遠 斜 庭 妻 填
子 說 字 材 納 于 撤 儲
產 種 注 排 塞 折 舍 淺
行 而 供 河 飼 伸 鬧 擾
方 面 態 封 濕 麥 紫 讚
後 多 另 復 荷 暗 砂 戲
定 學 施 減 瓦 床 遞 吊
法 所 樹 溶 卡 築 陶 伐
民 得 怎 止 戶 塔 療 瓶
經 十 案 台 訪 透 婆 臂
三 之 言 士 刀 旋 撫 摸
進 等 均 武 借 氯 忍 蝦
部 度 固 葉 遇 份 胸 鄰
家 電 魚 波 毒 泥 偶 擠
力 如 視 僅 退 洗 棄 鞏
水 化 差 費 蟲 擺 鋪 乳
高 都 降 緊 灰 彩 槽 鬆
自 二 愛 左 賣 圈 仁 吉
理 起 章 早 耗 夏 鄧 熔
小 長 害 續 擇 忙 爛 磚
物 現 服 食 獻 銅 租 簽
實 加 試 充 硬 予 烏 艦
量 兩 兵 源 削 卷 伴 瓜
體 機 判 似 繁 雪 丙 暫
還 當 司 護 亦 函 燥 譜
使 點 足 某 抽 篇 橡 暖
從 業 練 略 陣 陰 柳 牌
本 重 田 黑 丁 尺 秧 縴
去 把 犯 負 追 堆 迷 膽
性 好 擊 繼 盛 雄 詳 簧
應 開 興 堅 迎 泛 踏 呆
它 合 輸 曲 樓 爸 瓷 賓
因 制 修 故 避 謀 洛 糊
由 其 城 覺 噸 野 憤 競
些 然 夫 夠 豬 旗 隙 怒
前 外 送 笑 偏 典 粘 乃
天 政 船 右 館 索 緒 肩
四 日 財 吃 秦 脂 籍 輝
那 社 富 春 潮 爺 敏 熙
義 事 職 漢 忽 塑 皆 桿
